canton,population,superficie_ha,densite_km2,pib_hab
Appenzell Rh.-Ext.,55740,24284,229.53,67340.83
Appenzell Rh.-Int.,16355,17248,94.82,75525.91
Argovie,725092,140380,516.52,67224.22
Berne,1049624,595851,176.16,85151.01
Bâle-Campagne,296740,51767,573.22,77692.92
Bâle-Ville,196511,3695,5318.29,209781.83
Fribourg,339713,167243,203.13,64502.43
Genève,500939,28249,1773.3,119643.63
Glaris,41311,68531,60.28,75429.85
Grisons,202369,710530,28.48,82817.28
Jura,73438,83851,87.58,78546.38
Lucerne,429948,149352,287.88,75544.49
Neuchâtel,176474,80216,220.0,106165.29
Nidwald,44590,27584,161.65,74951.94
Obwald,38946,49058,79.39,74902.28
Saint-Gall,531119,202820,261.87,85320.15
Schaffhouse,87067,29842,291.76,100958.5
Schwytz,166109,90788,182.96,70738.63
Soleure,285528,79046,361.22,73802.95
Tessin,352234,281215,125.25,102190.35
Thurgovie,295432,99433,297.12,70504.15
Uri,37469,107653,34.81,58391.6
Valais,364256,522464,69.72,61386.57
Vaud,835305,321202,260.06,78021.25
Zoug,130734,23873,547.62,192957.78
Zurich,1588214,172894,918.61,104619.53
